epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,7653.77,1.78026,0.64211,0.93761,1.30298,0.000907425,0.000302475,0.000907425,0.000302475,0.000907425,0.000302475,0.000907425,0.000302475
2,9237.24,1.27238,0.76863,0.99393,0.7846,0.00178046,0.000593486,0.00178046,0.000593486,0.00178046,0.000593486,0.00178046,0.000593486
3,10318.2,0.94405,0.84229,0.99913,0.47052,0.0026175,0.000872499,0.0026175,0.000872499,0.0026175,0.000872499,0.0026175,0.000872499
4,68528.4,0.72645,0.90468,0.99913,0.31576,0.00256502,0.000855005,0.00256502,0.000855005,0.00256502,0.000855005,0.00256502,0.000855005
5,69587.2,0.59268,0.90815,0.99913,0.2562,0.00251102,0.000837007,0.00251102,0.000837007,0.00251102,0.000837007,0.00251102,0.000837007
6,70637,0.53269,0.92634,0.99913,0.22225,0.00245703,0.000819009,0.00245703,0.000819009,0.00245703,0.000819009,0.00245703,0.000819009
7,71705,0.474,0.92548,0.99913,0.2052,0.00240303,0.000801011,0.00240303,0.000801011,0.00240303,0.000801011,0.00240303,0.000801011
8,73711.5,0.44532,0.94021,0.99913,0.16782,0.00234904,0.000783013,0.00234904,0.000783013,0.00234904,0.000783013,0.00234904,0.000783013
9,75485.9,0.39967,0.94281,0.99913,0.16869,0.00229504,0.000765014,0.00229504,0.000765014,0.00229504,0.000765014,0.00229504,0.000765014
10,76615.9,0.38433,0.94974,0.99913,0.1416,0.00224105,0.000747016,0.00224105,0.000747016,0.00224105,0.000747016,0.00224105,0.000747016
11,78107.7,0.37163,0.95754,0.99913,0.11737,0.00218705,0.000729018,0.00218705,0.000729018,0.00218705,0.000729018,0.00218705,0.000729018
12,87036.9,0.35467,0.96534,1,0.10968,0.00213306,0.00071102,0.00213306,0.00071102,0.00213306,0.00071102,0.00213306,0.00071102
13,88876.7,0.32747,0.96447,1,0.10053,0.00207906,0.000693022,0.00207906,0.000693022,0.00207906,0.000693022,0.00207906,0.000693022
14,89986.7,0.30097,0.9636,1,0.11005,0.00202507,0.000675023,0.00202507,0.000675023,0.00202507,0.000675023,0.00202507,0.000675023
15,91183.3,0.31303,0.95754,1,0.11445,0.00197108,0.000657025,0.00197108,0.000657025,0.00197108,0.000657025,0.00197108,0.000657025
16,92446.7,0.28908,0.974,1,0.08904,0.00191708,0.000639027,0.00191708,0.000639027,0.00191708,0.000639027,0.00191708,0.000639027
